cntr_grnds_dstnc,frstn_grnds_dstnc,hr_unit_artmp,hr_unit_hum,hr_unit_wspd_info,growing_stock,forest_ratio,avg_growing_stock,t2m_mean_c,t2m_min_c,t2m_max_c,d2m_mean_c,d2m_min_c,d2m_max_c,u10_mean_ms,v10_mean_ms,wind_speed_mean,wind_dir_deg,tp_sum_mm,pev_sum_mm,ssrd_sum_jm2,ssrd_sum_mjm2,impute_radius,land,arrival_time_diff,dispatch_time_diff,golden_time_under_50min,is_night,month_rcpt,dspt_req_hr,fire_supesn_hr,ctpv_nm_gangwon,ctpv_nm_gyeonggi,ctpv_nm_gyeongnam,ctpv_nm_gyeongbuk,ctpv_nm_gwangju,ctpv_nm_daegu,ctpv_nm_daejeon,ctpv_nm_busan,ctpv_nm_seoul,ctpv_nm_sejong,ctpv_nm_ulsan,ctpv_nm_incheon,ctpv_nm_jeonnam,ctpv_nm_jeonbuk,ctpv_nm_jeju,ctpv_nm_chungnam,ctpv_nm_chungbuk,fclt_plc_sclsf_nm_public,fclt_plc_sclsf_nm_national,fclt_plc_sclsf_nm_private,fnd_igtn_pstn_nm_unknown,fnd_igtn_pstn_nm_under,fnd_igtn_pstn_nm_top,fnd_igtn_pstn_nm_middle,fnd_igtn_pstn_nm_plain,wndrct_brng_NONE,wndrct_brng_south,wndrct_brng_southeast,wndrct_brng_southwest,wndrct_brng_east,wndrct_brng_north,wndrct_brng_northeast,wndrct_brng_northwest,wndrct_brng_west
0.6931471805599453,1.0986122886681098,12.2,50.0,1,35187,17.29,119.28,7.810312747955322,2.880767822265625,13.722808837890623,2.145029783248902,-0.196624755859375,3.921295166015625,-0.1436539441347122,-0.079001784324646,0.1639443188905716,61.19162080770434,0.0135453874143602,-46.48062896728515,249770240.0,249.77023315429688,0,1706.0,5.966146739123692,4.276666119016055,1,0,11,1.9117905099724464,8.240385115516334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.4849066497880004,2.4849066497880004,8.4,24.6,1,9339264,63.99,182.73,3.2294108867645264,-0.542083740234375,7.389068603515625,-3.330556154251098,-9.744720458984377,-0.333587646484375,0.46238574385643,0.3500538170337677,0.579946756362915,232.8720880131904,0.0119343641092788,-105.2595443725586,205024848.0,205.02484130859375,0,79865.0,6.871091294610546,0.0,1,0,12,2.063196717950949,7.695757990554761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.995732273553991,3.258096538021482,23.3,56.0,1,2543081,24.85,146.58,19.36712646484375,15.799102783203123,22.799957275390625,15.128666877746582,13.992340087890623,15.926422119140623,1.248653769493103,0.5691410899162292,1.3722455501556396,245.49632283438,0.0,0.0,0.0,0.0,1,69818.0,7.313220387090301,4.77912349311153,1,0,6,2.107942382089644,7.773173680482536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.9444389791664403,2.9444389791664403,9.1,50.0,1,5986949,70.34,147.47,1.8864542245864868,-1.448089599609375,6.078765869140625,-1.9212239980697632,-4.399017333984375,1.368804931640625,-0.1901954412460327,0.6950754523277283,0.7206276655197144,164.6966014832899,1.7429567283994896,-51.32585906982422,140411120.0,140.41111755371094,0,57720.0,5.7899601708972535,3.8501476017100584,1,0,12,1.8928641420201489,8.129174996911793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.0794415416798357,3.4339872044851463,15.0,42.0,1,8351068,61.96,179.19,7.71563720703125,1.736724853515625,15.054107666015623,-0.13555908203125,-1.986175537109375,2.431549072265625,-0.4557496011257171,-0.9331685900688172,1.0385138988494873,26.03039052679577,0.0135453874143602,-128.80731201171875,271029056.0,271.029052734375,0,75221.0,6.5998704992128365,3.4011973816621555,1,0,11,2.022820294384796,8.005367067316664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2.0794415416798357,2.8903717578961645,17.1,57.0,1,1118848,33.66,149.2,13.696660041809082,9.186431884765623,19.000030517578125,10.215789794921877,8.395416259765625,11.247955322265623,0.8200704455375671,-0.033692043274641,0.8207622766494751,272.35263551286687,0.0033815507933035,-70.83543395996094,289996128.0,289.9961242675781,0,22279.0,6.9167150203536085,4.110873864173311,1,0,10,2.0612023134609547,8.795582216956426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2.9444389791664403,3.4339872044851463,7.6,0.0,1,3328197,40.59,147.57,0.5811767578125,-2.654144287109375,5.090484619140625,-4.393147945404053,-5.772308349609375,-0.956634521484375,-0.323714941740036,-1.332514405250549,1.371271729469299,13.654654019321526,0.5763019491916155,-53.35546112060547,214858992.0,214.85899353027344,0,55562.0,7.2633296174768365,4.6443908991413725,1,0,12,2.102720074014822,8.550821372396221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.6094379124341005,3.5553480614894135,11.8,27.0,1,6532302,69.05,158.4,3.1323039531707764,-2.186370849609375,10.021392822265623,-2.9628398418426514,-5.331390380859375,-0.518646240234375,0.7845320105552673,-1.3699601888656616,1.5786961317062378,330.20162468572653,0.0127246314586299,-83.64002990722656,349089888.0,349.0898742675781,0,59722.0,5.71042701737487,4.110873864173311,1,0,2,1.87009883876091,8.482808764554406,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2.302585092994046,2.302585092994046,23.4,52.0,1,17326437,79.56,193.18,19.762338638305664,16.386871337890625,24.910797119140625,14.17198657989502,13.394195556640623,14.776031494140623,-2.3645715713500977,-0.9453688263893129,2.546550750732422,68.20819584376841,0.6485419689595984,-135.23594665527344,331129376.0,331.1293640136719,0,112732.0,6.068425588244111,4.276666119016055,1,0,7,1.9299082210139993,8.561784074744113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.772588722239781,2.772588722239781,8.4,24.0,1,4076708,63.02,168.44,1.34161376953125,-2.341888427734375,7.434967041015625,-7.893640995025635,-13.093902587890623,-5.394866943359375,0.4738265573978424,0.0036701362114399,0.4738407731056213,269.5562107978028,0.0321620626981258,-271.3512878417969,280212704.0,280.21270751953125,0,38406.0,7.210079628170788,4.836281906951478,1,0,1,2.093485229431972,8.685077700412423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.9459101490553132,3.332204510175204,10.7,29.0,1,3151818,42.07,145.19,7.265421390533447,4.028228759765625,11.049957275390623,-2.6761271953582764,-4.997406005859375,-0.469329833984375,-0.769259512424469,-0.6949482560157776,1.0366837978363037,47.90537414435806,0.0656788535552846,-73.99307250976562,326566944.0,326.56695556640625,0,51598.0,6.493753839851686,4.23410650459726,1,0,3,1.999477239130146,8.474911799159631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.3862943611198906,1.6094379124341005,23.8,70.0,1,1125952,48.58,163.63,24.86423683166504,22.435455322265625,28.527008056640625,21.635324478149418,19.802154541015625,22.531036376953125,0.5994523763656616,-0.3986565768718719,0.7199098467826843,303.62528105851146,3.081665361790662,-105.25609588623048,280307552.0,280.30755615234375,0,14163.0,6.289715570908998,4.276666119016055,1,0,8,1.9668981094094211,7.110696122978827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3.1780538303479458,3.6635616461296463,16.0,60.0,1,4795181,64.16,120.1,12.44090747833252,9.098052978515623,16.263092041015625,7.687276363372803,6.533843994140625,9.210601806640623,2.9011199474334717,-2.6719624996185303,3.94409441947937,312.6454031398928,1.8618692005696045,-212.1871337890625,217542992.0,217.54299926757812,0,62235.0,6.423246963533519,4.3694478524670215,1,0,11,1.9862097525467477,8.252706676567644,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
