DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff
1403,9194,1,159,12,9,-1.0,2,2,3,28.7,2.0,2,48.0,1,1533.0,0,7,130.0
1531,4140,12,108,8,16,-1.0,2,2,2,4.0,2.0,7,36.0,1,1631.0,1,4,100.0
601,120,1,160,12,4,-1.0,2,2,1,3.1,2.0,5,0.0,1,722.0,0,2,121.0
140,6490,3,149,99,2,28.0,1,1,3,26.8,2.0,3,53.0,1,175.0,0,8,35.0
420,1860,15,200,14,6,-1.0,2,2,1,20.5,2.0,7,60.0,1,441.0,0,5,21.0
344,4979,1,148,14,2,-1.0,2,2,3,-1.0,2.0,6,50.0,1,428.0,0,1,84.0
931,3231,3,37,26,7,-1.0,2,2,1,16.9,2.0,6,31.0,1,952.0,0,10,21.0
440,1674,0,217,8,8,-1.0,1,1,3,1.4,2.0,7,32.0,1,440.0,0,12,0.0
811,8266,1,218,30,4,-1.0,0,0,1,23.0,-1.0,0,58.0,1,866.0,0,6,55.0
864,7571,3,130,11,7,-1.0,2,2,3,23.4,2.0,5,49.0,1,864.0,0,10,0.0
954,4700,0,135,8,8,5.0,1,1,1,25.3,2.0,8,21.0,1,1005.0,0,5,51.0
821,3167,12,219,10,10,14.0,2,2,1,4.9,6.5,6,38.0,1,841.0,0,2,20.0
539,3537,1,64,3,3,-1.0,1,1,3,23.7,6.5,7,42.0,1,701.0,0,5,162.0
474,1920,1,125,13,11,2.0,2,2,1,1.2,2.0,2,37.0,1,543.0,0,2,69.0
374,10073,13,163,23,22,6.0,2,2,4,13.5,6.5,2,0.0,1,452.0,0,11,78.0
457,198,1,17,8,2,-1.0,2,2,1,5.8,2.0,1,53.0,1,481.0,1,12,24.0
478,3590,12,219,9,17,-1.0,2,2,1,28.7,15.0,1,22.0,1,554.0,0,5,76.0
1252,2397,0,152,28,0,10.0,2,2,3,19.3,2.0,2,62.0,1,1510.0,0,7,258.0
2607,3229,1,123,12,12,11.0,2,2,2,29.3,6.5,1,33.0,1,2693.0,0,6,86.0
295,773,15,186,3,3,-1.0,2,2,3,28.7,2.0,2,39.0,1,339.0,1,7,44.0
552,1595,0,118,52,7,-1.0,1,1,1,12.9,2.0,5,55.0,1,672.0,1,5,120.0
273,2254,1,121,10,6,1.0,2,2,1,23.0,2.0,4,75.0,1,313.0,0,7,40.0
1465,5741,3,72,15,13,-1.0,2,2,2,6.6,2.0,2,57.0,1,1525.0,0,12,60.0
449,4710,0,221,32,32,6.0,2,2,3,26.9,2.0,1,60.0,1,487.0,0,8,38.0
512,240,1,29,3,3,-1.0,2,2,1,19.0,2.0,1,49.0,1,632.0,0,4,120.0
283,11534,15,54,22,11,4.0,2,2,1,4.0,2.0,2,0.0,1,375.0,0,12,92.0
358,8165,1,218,21,13,5.0,2,2,1,21.7,2.0,7,17.0,1,567.0,0,5,209.0
680,1139,13,169,8,11,-1.0,2,2,4,21.9,2.0,6,54.0,1,725.0,0,10,45.0
596,83573,0,16,26,11,-1.0,0,0,4,15.8,15.0,8,18.0,1,633.0,0,4,37.0
1000,397,1,115,16,16,-1.0,2,2,4,13.1,2.0,8,32.0,1,1078.0,0,3,78.0
483,720,1,202,12,3,-1.0,2,2,4,-6.5,2.0,6,38.0,1,615.0,0,1,132.0
591,3160,2,181,14,6,-1.0,1,1,1,6.3,2.0,2,21.0,1,689.0,0,1,98.0
281,1800,1,202,10,2,-1.0,2,2,1,7.7,2.0,8,44.0,1,341.0,0,3,60.0
1032,14983,13,161,25,17,-1.0,2,2,3,33.0,2.0,4,42.0,1,1090.0,0,7,58.0
803,3761,3,44,27,8,-1.0,2,2,1,3.3,2.0,6,37.0,1,898.0,0,12,95.0
353,7631,11,89,14,2,-1.0,2,2,1,3.0,2.0,8,31.0,1,506.0,0,1,153.0
544,600,1,18,5,4,-1.0,2,2,4,3.7,2.0,5,0.0,1,590.0,0,1,46.0
522,899,1,140,3,3,-1.0,2,2,1,20.3,2.0,3,0.0,1,572.0,0,6,50.0
269,2118,12,70,12,11,4.0,2,2,1,13.2,2.0,7,42.0,1,289.0,0,3,20.0
878,435,2,178,13,13,-1.0,2,2,3,31.5,2.0,3,52.9,1,896.0,0,8,18.0
323,224,1,125,9,10,4.0,2,2,4,31.1,2.0,7,38.0,1,420.0,0,7,97.0
1046,780,13,79,8,8,-1.0,2,2,1,19.3,6.5,3,28.0,1,1092.0,0,3,46.0
994,3140,2,10,19,14,-1.0,2,2,2,12.4,2.0,6,22.0,1,1034.0,0,11,40.0
445,638,1,95,4,1,-1.0,1,1,3,8.0,2.0,8,55.0,1,510.0,0,11,65.0
325,1592,10,150,20,4,-1.0,2,2,1,13.8,2.0,7,86.0,1,409.0,1,11,84.0
283,2769,11,142,0,6,-1.0,1,1,3,8.2,6.5,5,58.0,1,293.0,0,4,10.0
489,10827,0,162,6,6,-1.0,2,2,3,7.1,2.0,3,45.0,1,594.0,0,12,105.0
3528,8040,2,185,0,0,-1.0,1,1,3,13.0,2.0,2,75.0,0,3618.0,0,11,90.0
462,1643,3,139,18,27,5.0,2,2,1,9.4,2.0,2,0.0,1,502.0,0,12,40.0
892,1515,2,180,12,8,-1.0,2,2,3,21.6,-1.0,1,20.0,1,937.0,0,4,45.0
1064,2573,0,217,52,35,15.0,2,2,1,7.4,2.0,8,36.0,1,1111.0,0,4,47.0
1029,5467,0,16,11,12,-1.0,1,1,0,24.9,2.0,2,29.0,1,1062.0,0,5,33.0
1477,731,12,133,26,12,5.0,2,2,1,16.0,2.0,8,65.0,1,1510.0,0,4,33.0
303,960,1,121,5,1,-1.0,2,2,1,12.6,2.0,7,25.0,1,345.0,0,3,42.0
1044,3908,0,152,27,23,8.0,2,2,3,13.5,2.0,2,94.0,1,1142.0,1,7,98.0
300,4231,15,92,19,5,-1.0,2,2,1,34.4,-1.0,2,25.2,1,382.0,0,7,82.0
178,8920,3,12,32,1,-1.0,2,2,2,19.6,15.0,7,47.0,1,411.0,1,5,233.0
507,139,3,151,7,7,-1.0,2,2,1,10.9,2.0,6,43.0,1,542.0,0,4,35.0
531,50288,3,35,13,7,-1.0,2,2,1,20.8,6.5,7,0.0,1,602.0,0,3,71.0
716,1667,1,218,12,4,-1.0,2,2,1,18.5,2.0,6,42.0,1,781.0,0,4,65.0
1889,5666,1,205,19,5,-1.0,2,2,0,5.4,2.0,1,75.5,1,1995.0,0,3,106.0
300,3000,15,92,14,5,3.0,2,2,1,23.6,-1.0,2,66.8,1,371.0,1,7,71.0
1104,5781,12,21,25,25,12.0,2,2,1,17.7,2.0,3,36.0,1,1151.0,0,3,47.0
691,40925,15,200,14,8,-1.0,2,2,1,25.5,2.0,4,48.0,1,826.0,0,7,135.0
448,439,1,17,9,3,-1.0,2,2,3,14.0,10.5,6,65.0,1,484.0,0,3,36.0
360,6917,10,62,8,4,-1.0,2,2,3,19.2,2.0,3,54.0,1,397.0,0,5,37.0
597,17844,13,79,12,12,-1.0,2,2,4,13.2,2.0,8,31.0,1,729.0,0,3,132.0
254,4921,12,214,15,2,-1.0,2,2,3,11.1,6.5,7,21.0,1,280.0,0,4,26.0
600,333,1,125,20,7,-1.0,2,2,4,34.2,2.0,1,28.0,1,741.0,0,7,141.0
646,3867,1,50,24,7,-1.0,2,2,3,14.6,2.0,3,24.0,1,690.0,0,11,44.0
753,5220,12,32,40,7,-1.0,2,2,2,9.0,2.0,7,52.0,1,875.0,0,12,122.0
275,9535,15,92,26,5,-1.0,2,2,3,21.1,6.5,4,46.0,1,324.0,0,10,49.0
624,950,1,125,7,2,-1.0,2,2,4,23.0,2.0,2,65.0,1,731.0,0,6,107.0
981,11093,12,28,27,18,9.0,1,1,3,26.6,2.0,1,24.0,1,1589.0,0,5,608.0
516,5709,12,219,22,13,-1.0,2,2,1,15.9,2.0,7,35.0,1,654.0,0,2,138.0
575,3220,1,128,6,6,4.0,2,2,1,11.9,2.0,8,49.0,1,654.0,0,3,79.0
1287,2946,2,9,16,14,7.0,2,2,3,14.4,2.0,3,31.0,1,1325.0,0,4,38.0
300,1813,15,92,24,5,-1.0,2,2,4,24.7,2.0,5,62.2,1,374.0,0,7,74.0
461,10204,3,207,3,5,-1.0,2,2,2,14.1,6.5,3,19.0,1,531.0,0,4,70.0
803,5853,1,123,26,5,-1.0,2,2,1,8.0,6.5,3,18.0,1,845.0,0,3,42.0
343,209,2,73,5,5,-1.0,0,0,3,18.2,2.0,2,17.0,1,383.0,0,3,40.0
1216,4697,2,178,19,19,-1.0,2,2,3,1.4,2.0,5,73.8,1,1286.0,0,12,70.0
364,4747,2,10,4,4,-1.0,2,2,3,14.4,2.0,8,15.0,1,400.0,0,4,36.0
494,4898,13,107,22,13,6.0,2,2,4,9.0,2.0,3,30.0,1,550.0,0,12,56.0
1212,5398,2,119,11,11,-1.0,2,2,1,11.4,2.0,3,0.0,1,1270.0,0,12,58.0
799,1317,2,86,13,12,-1.0,2,2,1,14.1,2.0,8,40.0,1,922.0,0,2,123.0
177,960,1,160,25,15,3.0,2,2,1,30.8,2.0,8,0.0,1,237.0,0,7,60.0
266,539,13,43,20,20,4.0,2,2,1,11.1,6.5,7,34.0,1,307.0,0,11,41.0
1116,3749,12,70,14,11,2.0,2,2,1,8.9,2.0,8,46.0,1,1136.0,0,3,20.0
626,6060,15,216,30,14,9.0,2,2,3,10.0,2.0,7,70.0,1,675.0,0,11,49.0
835,13823,12,21,11,11,-1.0,2,2,1,12.4,2.0,7,25.0,1,906.0,0,3,71.0
685,3614,1,29,13,9,-1.0,2,2,1,11.0,6.5,4,30.0,1,787.0,0,3,102.0
693,1380,1,29,12,5,-1.0,2,2,1,4.0,6.5,0,30.0,1,753.0,0,12,60.0
1319,2991,0,221,28,14,6.0,2,2,1,26.6,20.0,2,41.0,1,1404.0,0,7,85.0
387,4752,2,86,7,7,-1.0,2,2,1,9.1,2.0,8,42.0,1,438.0,0,3,51.0
1509,614,3,15,10,10,17.0,2,2,1,16.5,2.0,2,43.0,1,1684.0,0,4,175.0
397,1846,11,8,4,9,3.0,2,2,1,16.1,6.5,3,61.0,1,460.0,1,5,63.0
1163,12577,1,128,24,21,-1.0,2,2,2,33.5,2.0,3,32.0,1,1425.0,0,7,262.0
758,10279,12,143,56,10,10.0,2,2,1,4.9,2.0,7,42.0,1,868.0,1,1,110.0
954,1637,1,123,16,8,-1.0,2,2,1,0.1,2.0,7,85.0,1,1113.0,1,11,159.0
332,2162,10,48,9,2,-1.0,2,2,2,18.6,2.0,3,68.0,1,371.0,1,6,39.0
578,6191,3,15,8,8,-1.0,2,2,1,20.7,2.0,4,26.0,1,659.0,0,3,81.0
293,546,1,17,5,2,-1.0,2,2,1,20.7,2.0,7,18.0,1,366.0,0,4,73.0
446,10379,13,161,25,9,6.0,2,2,4,12.5,2.0,3,30.0,1,528.0,0,4,82.0
648,1255,1,128,8,5,5.0,2,2,3,13.0,6.5,6,22.0,1,762.0,0,4,114.0
802,1117,3,157,31,11,-1.0,2,2,3,28.0,2.0,3,41.9,1,884.0,0,6,82.0
1063,1740,13,43,12,10,-1.0,2,2,4,11.2,2.0,1,50.0,1,1130.0,1,4,67.0
696,3835,0,16,18,18,-1.0,1,1,2,19.1,-1.0,8,46.0,1,732.0,1,10,36.0
377,1347,1,109,18,2,-1.0,0,0,3,22.1,2.0,6,0.0,1,475.0,1,7,98.0
564,805,6,62,6,4,-1.0,0,0,3,26.4,2.0,6,0.0,1,620.0,0,7,56.0
593,1519,11,142,0,7,-1.0,2,2,1,20.7,2.0,1,41.0,1,644.0,0,5,51.0
352,598,1,205,37,12,3.0,2,2,1,7.3,2.0,2,41.0,1,440.0,0,12,88.0
384,8634,3,12,32,9,-1.0,2,2,1,30.6,10.5,3,40.0,1,437.0,0,6,53.0
702,8580,15,200,12,25,10.0,2,2,2,25.7,6.5,5,43.0,1,778.0,0,7,76.0
461,9905,12,124,13,4,-1.0,2,2,1,13.9,2.0,3,0.0,1,493.0,0,4,32.0
646,8515,15,59,10,10,-1.0,2,2,1,13.2,2.0,5,30.0,1,756.0,0,4,110.0
720,9045,2,9,7,3,-1.0,2,2,2,8.0,2.0,7,10.0,1,846.0,1,3,126.0
521,3836,3,207,5,2,-1.0,0,0,3,3.8,2.0,3,31.0,1,561.0,1,2,40.0
750,2091,0,118,11,11,11.0,2,2,1,6.0,2.0,7,24.0,1,821.0,0,12,71.0
299,2167,15,23,15,7,-1.0,2,2,3,13.9,2.0,2,0.0,1,378.0,0,3,79.0
528,5753,16,132,15,15,10.0,2,2,4,15.6,2.0,6,20.9,1,666.0,0,3,138.0
568,2723,0,221,7,7,16.0,2,2,1,15.6,2.0,1,28.0,1,612.0,0,3,44.0
524,10106,1,202,25,4,-1.0,1,1,1,16.0,6.5,1,41.0,1,674.0,0,4,150.0
266,1296,15,191,4,4,-1.0,2,2,1,14.7,2.0,4,21.0,1,299.0,0,3,33.0
352,1351,1,205,5,5,1.0,2,2,1,5.6,6.5,5,0.0,1,426.0,0,3,74.0
897,6374,2,211,15,15,-1.0,2,2,3,-1.3,-1.0,7,0.0,1,1054.0,0,2,157.0
674,754,6,60,3,3,-1.0,2,2,3,4.6,2.0,1,53.0,1,713.0,0,1,39.0
285,1561,3,72,2,2,-1.0,2,2,1,5.9,2.0,2,36.0,1,329.0,0,2,44.0
302,608,7,85,3,3,-1.0,2,2,1,4.5,2.0,7,52.0,1,355.0,1,2,53.0
589,1452,3,88,13,13,-1.0,2,2,4,20.1,2.0,7,18.0,1,675.0,0,4,86.0
290,3670,16,194,4,2,-1.0,2,2,3,12.9,2.0,7,75.0,1,416.0,0,3,126.0
459,10340,2,73,17,17,4.0,2,2,1,13.1,2.0,8,20.0,1,535.0,0,3,76.0
479,1155,1,158,3,3,-1.0,2,2,1,2.7,2.0,5,23.0,1,613.0,0,1,134.0
146,461,1,114,5,2,1.0,0,0,3,1.1,2.0,2,95.1,1,322.0,1,1,176.0
112,7661,12,7,15,15,2.0,2,2,1,4.3,2.0,8,0.0,1,175.0,0,2,63.0
484,381,15,74,8,5,-1.0,2,2,1,3.3,2.0,5,31.0,1,539.0,0,2,55.0
1982,8393,12,219,20,7,6.0,2,2,1,13.1,6.5,5,19.0,1,1985.0,0,3,3.0
423,832,1,159,5,3,-1.0,2,2,1,12.1,2.0,7,28.0,1,492.0,0,3,69.0
289,720,8,173,3,2,-1.0,1,1,1,7.4,2.0,4,0.0,1,357.0,1,3,68.0
504,619,7,42,7,7,-1.0,2,2,1,9.3,2.0,8,15.0,1,549.0,0,1,45.0
389,11438,15,59,10,10,6.0,2,2,1,8.5,2.0,7,42.0,1,556.0,0,2,167.0
1152,4923,2,119,19,12,-1.0,2,2,3,14.9,2.0,6,0.0,1,1225.0,0,2,73.0
315,4191,12,70,19,4,-1.0,0,0,1,5.2,2.0,6,33.0,1,435.0,0,2,120.0
1157,8989,3,149,99,15,12.0,2,2,3,11.3,2.0,4,48.0,1,1182.0,0,3,25.0
331,371,1,19,6,3,-1.0,2,2,1,2.1,2.0,7,29.0,1,371.0,0,1,40.0
298,6426,12,212,19,19,4.0,2,2,1,7.1,2.0,8,46.0,1,478.0,0,1,180.0
397,540,8,98,3,2,-1.0,0,0,1,7.7,2.0,3,55.0,1,477.0,1,4,80.0
499,2824,13,79,5,5,-1.0,2,2,4,12.0,2.0,7,36.0,1,708.0,0,3,209.0
840,1560,15,200,18,12,-1.0,2,2,1,13.9,2.0,7,65.0,1,888.0,0,10,48.0
