DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
548,1,208,9,5,-1.0,2,2,1,26.3,2.0,2,47.0,1,676.0,0,7,128.0,8.579980179515003,6.3080984415095305,2.302585092994046,1.791759469228055,-inf,6.517671272912275,4.859812404361672
934,9,0,9,7,-1.0,2,2,1,29.9,2.0,4,36.0,1,1045.0,0,7,111.0,8.381144346952961,6.840546529288687,2.302585092994046,2.0794415416798357,-inf,6.952728644624869,4.718498871295094
1763,1,202,12,12,-1.0,1,1,1,24.5,2.0,8,38.0,1,1834.0,0,4,71.0,9.465060106725137,7.475339236566737,2.5649493574615367,2.5649493574615367,-inf,7.51479976048867,4.276666119016055
299,8,5,1,1,-1.0,0,0,3,23.2,2.0,7,44.0,1,422.0,0,9,123.0,0.0,5.703782474656201,0.6931471805599453,0.6931471805599453,-inf,6.0473721790462776,4.820281565605037
1434,3,206,25,20,5.0,1,1,1,10.6,6.5,7,16.0,1,1651.0,0,4,217.0,7.305188215393037,7.268920128193722,3.258096538021482,3.044522437723423,1.791759469228055,7.409741954080923,5.384495062789089
1089,3,72,20,20,12.0,2,2,3,17.7,6.5,8,0.0,1,1124.0,0,10,35.0,7.305188215393037,6.993932975223189,3.044522437723423,3.044522437723423,2.5649493574615367,7.025538314638521,3.58351893845611
286,2,9,7,3,-1.0,2,2,3,12.6,2.0,8,56.0,1,377.0,0,3,91.0,8.72029728739272,5.659482215759621,2.0794415416798357,1.3862943611198906,-inf,5.934894195619588,4.5217885770490405
853,1,17,9,10,6.0,2,2,3,24.4,2.0,7,24.0,1,913.0,0,5,60.0,10.197872113047582,6.74993119378857,2.302585092994046,2.3978952727983707,1.9459101490553132,6.81783057145415,4.110873864173311
455,11,8,24,12,5.0,2,2,1,15.0,6.5,3,58.0,1,500.0,0,11,45.0,7.059617628291383,6.1224928095143865,3.2188758248682006,2.5649493574615367,1.791759469228055,6.2166061010848646,3.828641396489095
913,13,163,44,10,-1.0,2,2,1,23.4,2.0,5,10.0,1,1000.0,0,4,87.0,7.652070746116482,6.81783057145415,3.8066624897703196,2.3978952727983707,-inf,6.90875477931522,4.477336814478207
