DSPT_REQ_HR,FIRE_SUPESN_HR,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,HR_UNIT_ARTMP,HR_UNIT_HUM,WSPD_BIN,MONTH,CMBS_EXPOBJ_LCLSF_NM_unknown,CMBS_EXPOBJ_LCLSF_NM_GAS,CMBS_EXPOBJ_LCLSF_NM_ETC,CMBS_EXPOBJ_LCLSF_NM_GARBAGE,CMBS_EXPOBJ_LCLSF_NM_DANGER,CMBS_EXPOBJ_LCLSF_NM_VEHICLE_TRAIN_SHIP_AIRCRAFT,CMBS_EXPOBJ_LCLSF_NM_ELEC,CMBS_EXPOBJ_LCLSF_NM_PAPER_WOOD,CMBS_EXPOBJ_LCLSF_NM_BED_WOOL,CMBS_EXPOBJ_LCLSF_NM_PLASTIC,CMBS_EXPOBJ_LCLSF_NM_nan,IGTN_HTSRC_NM_ETC,IGTN_HTSRC_NM_SMOKE,IGTN_HTSRC_NM_FRICTION,IGTN_HTSRC_NM_unknown,IGTN_HTSRC_NM_SPARK,IGTN_HTSRC_NM_NATURAL,IGTN_HTSRC_NM_MACHINE,IGTN_HTSRC_NM_EXPLOSIVE,IGTN_HTSRC_NM_CHEMICAL,CTPV_NM_busan,CTPV_NM_chungbuk,CTPV_NM_chungnam,CTPV_NM_daegu,CTPV_NM_daejeon,CTPV_NM_gangwon,CTPV_NM_gwangju,CTPV_NM_gyeongbuk,CTPV_NM_gyeonggi,CTPV_NM_gyeongnam,CTPV_NM_incheon,CTPV_NM_jeju,CTPV_NM_jeonbuk,CTPV_NM_jeonnam,CTPV_NM_sejong,CTPV_NM_seoul,CTPV_NM_ulsan,FND_IGTN_PSTN_NM_middle,FND_IGTN_PSTN_NM_plain,FND_IGTN_PSTN_NM_top,FND_IGTN_PSTN_NM_under,FND_IGTN_PSTN_NM_unknown,FND_FIRE_SE_NM_national,FND_FIRE_SE_NM_private,FND_FIRE_SE_NM_public,WNDRCT_BRNG_east,WNDRCT_BRNG_north,WNDRCT_BRNG_south,WNDRCT_BRNG_west,WNDRCT_BRNG_SE,WNDRCT_BRNG_SW,WNDRCT_BRNG_NE,WNDRCT_BRNG_NW,dispatch_time_diff,arrival_time_diff,golden_time_under_50min,is_night,month_rcpt
6.489204931325320,6.6039438246004700,2.9444389791664400,2.0794415416798400,26.0,98.0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4.61512051684126,6.630683385642370,1,0,7
6.767343125265390,8.685584842676690,2.1972245773362200,1.9459101490553100,5.3,23.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.4339872044851500,6.80128303447162,1,0,2
8.211211361793020,7.106606137727300,3.4339872044851500,3.258096538021480,7.4,71.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.488937726156690,8.274611946209550,0,0,3
5.407171771460120,6.12029741895095,3.871201010907890,0.6931471805599450,10.6,61.0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.828641396489100,5.5909869805108600,1,0,12
5.342334251964810,7.795646536334590,2.3978952727983700,2.3978952727983700,26.0,63.0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4.51085950651685,5.700443573390690,1,0,6
5.262690188904890,6.934397209928560,2.3978952727983700,2.3978952727983700,27.1,63.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.867534450455580,5.7745515455444100,1,0,6
5.8971538676367400,7.51479976048867,2.5649493574615400,0.6931471805599450,30.4,38.0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.007333185232470,6.035481432524760,1,0,7
5.541263545158430,8.901775088607980,2.9444389791664400,2.9444389791664400,29.0,21.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.02535169073515,5.736572297479190,1,0,6
5.707110264748880,6.493753839851690,3.044522437723420,2.772588722239780,28.2,42.0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.812184355372420,6.0473721790462800,1,0,7
5.8944028342648500,6.960347729101310,1.9459101490553100,1.0986122886681100,12.9,20.0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4.219507705176110,6.063785208687610,1,0,3
