WRINV_NO,FIRE_TYPE_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
191111164947715,임야,,,0,0,0,50,월,장흥소방서,장흥119안전센터,20191111122845,20191111123003,20191111123900,20191111132600,20191111133400,20191111141200,537,3300,전라남도,장흥군,38,23,6.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,16.0,0~4 m/s,북서,60.0
191106072611769,임야,,,0,0,0,1,수,마포소방서,성산119안전센터,20191106054145,20191106054357,20191106054800,20191106061700,20191106061700,20191106063800,243,1740,서울특별시,마포구,7,2,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등",나무,임야,산불,국유림,,N,N,N,국유림,산중턱,16.5,0~4 m/s,북서,48.0
190308195149163,임야,,,0,0,0,5925,금,성남소방서,단대119안전센터,20190308153309,20190308153353,20190308154653,20190308160921,20190308160921,20190308170805,780,1348,경기도,성남시 수정구,10,7,0.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,쓰레기류,쓰레기,,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,12.5,0~4 m/s,북서,20.0
190129135946335,임야,,,0,0,0,110,화,태안소방서,태안119안전센터,20190129115155,20190129115233,20190129115633,20190129121000,20190129124000,20190129125000,240,2607,충청남도,태안군,10,2,0.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등",나무,임야,산불,사유림,,N,N,N,사유림,평지,3.5,0~4 m/s,남서,36.0
190314105320076,임야,,,0,0,0,151,수,의창소방서,동읍119안전센터,20190313164927,20190313164955,20190313170640,20190313172026,20190313173026,20190313183726,1005,1426,경상남도,창원시 의창구,12,5,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,불장난,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,공유림,,N,N,N,공유림,산정상,11.4,0~4 m/s,북서,0.0
190403045541441,임야,,,0,0,0,247490,화,해운대소방서,반송119안전센터,20190402151818,20190402151931,20190402152527,20190403090000,20190405220000,20190405223000,356,23673,부산광역시,해운대구,7,2,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,쓰레기 소각,쓰레기류,기타 쓰레기,,,기타,기타,임야,산불,공유림,,N,N,N,공유림,산아래,15.0,0~4 m/s,서,13.0
190208171119739,임야,,,0,0,0,2002,금,여주소방서,월송119안전센터,20190208122606,20190208122734,20190208123514,20190208124034,20190208124334,20190208133734,460,500,경기도,여주시,10,10,3.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,,,임야,산불,사유림,,N,N,N,사유림,산아래,-3.2,0~4 m/s,남동,35.0
191011175254081,임야,,,0,0,0,0,금,세종소방서,보람119안전센터,20191011161759,20191011162143,20191011163030,20191011163846,20191011165732,20191011172009,527,1622,세종특별자치시,,10,8,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산중턱,17.3,0~4 m/s,북서,60.0
191028112825066,임야,,,0,0,0,0,월,부산진소방서,범일119안전센터,20191028090551,20191028090722,20191028091227,20191028092549,20191028092549,20191028100005,305,802,부산광역시,동구,3,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등",나무,,,,,임야,산불,사유림,,N,N,N,사유림,산아래,14.9,0~4 m/s,북서,47.0
190302004216966,임야,,,0,0,0,19,금,안산소방서,고잔119안전센터,20190301235048,20190301235123,20190301235657,20190302000408,20190302000513,20190302002313,334,496,경기도,안산시 상록구,1,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,불장난,"종이,목재,건초등",종이,,,미상,미상,임야,산불,공유림,,N,N,N,공유림,산중턱,-1.5,0~4 m/s,동,99.0
